Experimental_index,DP_Group,LA/GA,Polymer_MW,CL Ratio,Drug_Tm,Drug_Pka,Initial D/M ratio,DLC,SA-V,SE,Drug_Mw,Drug_TPSA,Drug_NHA,Drug_LogP,Time,T=0.25,T=0.5,T=1.0,Release
42,DPP-PLGA,1.0,46000.0,0.0,156.0,13.91,0.23,0.05,95.24,0.0,254.25,102.28,8.0,-2.21,1.69,0.05,0.13,0.28,0.54
111,DEX-PLGA,1.0,46000.0,0.0,262.0,12.42,0.18,0.12,113.21,0.0,392.47,94.83,6.0,1.9,22.19,0.0,0.01,0.01,0.83
41,LTZ-PLGA,1.86,57700.0,0.0,184.5,4.4,0.17,0.12,4278.99,0.0,285.31,78.29,5.0,2.66,2.73,0.01,0.02,0.05,0.18
124,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.06,78.95,0.0,331.35,99.6,8.0,1.58,1.43,0.01,0.03,0.07,0.09
35,TAA-PLGA,1.0,54000.0,0.0,293.0,11.75,0.05,0.05,84.51,0.02,434.5,93.06,7.0,2.42,14.27,0.0,0.01,0.01,0.05
54,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.05,0.01,1578.95,0.0,234.34,32.34,3.0,2.58,5.0,0.11,0.15,0.22,0.57
161,PTX-PLGA-co-PALA,3.0,11000.0,0.06,216.5,10.36,0.83,0.32,2.89,0.5,853.92,221.29,15.0,3.74,80.0,0.0,0.0,0.01,0.84
169,TAA-PLGA-co-PAVL,3.0,10200.0,0.04,293.0,11.75,0.83,0.35,2.89,0.5,434.5,93.06,7.0,2.42,3.0,0.01,0.01,0.02,0.02
54,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.05,0.01,1578.95,0.0,234.34,32.34,3.0,2.58,4.0,0.11,0.15,0.22,0.45
68,LDC-PLGA,1.0,48000.0,0.0,68.5,13.78,0.2,0.01,1621.62,0.0,234.34,32.34,3.0,2.58,20.17,0.02,0.03,0.05,0.29
36,CBD-PLGA,1.0,12000.0,0.0,66.5,9.13,0.1,0.08,248.24,0.5,314.47,40.46,2.0,5.85,0.55,0.04,0.08,0.15,0.11
131,LDC-PLGA,1.0,46000.0,0.0,68.5,13.78,0.05,0.04,428.57,0.0,234.34,32.34,3.0,2.58,6.58,0.1,0.13,0.19,0.6
160,PTX-PLGA-co-PALA,3.0,11000.0,0.06,216.5,10.36,0.83,0.32,2.89,0.5,853.92,221.29,15.0,3.74,80.0,0.01,0.01,0.02,0.95
110,DEX-PLGA,1.0,46000.0,0.0,262.0,12.42,0.11,0.09,103.45,0.0,392.47,94.83,6.0,1.9,18.47,0.0,0.01,0.02,0.91
113,DEX-PLGA,1.0,46000.0,0.0,262.0,12.42,0.51,0.29,115.38,0.0,392.47,94.83,6.0,1.9,9.06,0.03,0.06,0.11,0.41
169,TAA-PLGA-co-PAVL,3.0,10200.0,0.04,293.0,11.75,0.83,0.35,2.89,0.5,434.5,93.06,7.0,2.42,7.0,0.01,0.01,0.02,0.03
39,LTZ-PLGA,1.86,57700.0,0.0,184.5,4.4,0.25,0.17,7117.44,0.0,285.31,78.29,5.0,2.66,21.93,0.03,0.07,0.14,0.67
102,HPA-PLGA,1.0,12000.0,0.0,218.0,11.11,0.03,0.02,1090.91,0.01,242.32,58.88,3.0,2.0,6.04,0.11,0.2,0.36,0.8
96,PTX-PLGA,3.0,108000.0,0.0,216.5,10.36,0.02,0.01,3076.92,0.1,853.92,221.29,15.0,3.74,22.94,0.01,0.02,0.04,0.31
38,LTZ-PLGA,1.86,57700.0,0.0,184.5,4.4,0.33,0.2,10238.91,0.0,285.31,78.29,5.0,2.66,9.96,0.06,0.13,0.24,0.61
60,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.2,0.17,714.29,0.0,234.34,32.34,3.0,2.58,19.69,0.01,0.02,0.03,0.45
35,TAA-PLGA,1.0,54000.0,0.0,293.0,11.75,0.05,0.05,84.51,0.02,434.5,93.06,7.0,2.42,28.54,0.0,0.01,0.01,0.06
60,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.2,0.17,714.29,0.0,234.34,32.34,3.0,2.58,0.0,0.01,0.02,0.03,0.0
126,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.06,444.44,0.0,331.35,99.6,8.0,1.58,2.1,0.03,0.09,0.24,0.44
124,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.06,78.95,0.0,331.35,99.6,8.0,1.58,22.99,0.01,0.03,0.07,0.4
99,PTX-PLGA,3.0,108000.0,0.0,216.5,10.36,0.02,0.01,2061.86,0.1,853.92,221.29,15.0,3.74,8.08,0.01,0.01,0.03,0.14
89,TTD-PLGA,1.0,8300.0,0.0,206.0,10.28,0.1,0.06,112.25,0.01,325.5,23.47,2.0,5.34,0.0,0.06,0.09,0.15,0.0
103,HPA-PLGA,1.0,25000.0,0.0,218.0,11.11,0.03,0.02,1132.08,0.01,242.32,58.88,3.0,2.0,2.0,0.07,0.12,0.21,0.38
81,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.32,92.17,0.0,130.08,65.72,5.0,-0.8,3.1,0.27,0.34,0.45,0.65
114,DEX-PLGA,1.0,46000.0,0.0,262.0,12.42,1.72,0.62,98.36,0.0,392.47,94.83,6.0,1.9,0.22,0.25,0.31,0.5,0.24
46,PTX-PLGA,3.0,105000.0,0.0,216.5,10.36,0.02,0.01,22018.35,0.0,853.92,221.29,15.0,3.74,21.84,0.05,0.1,0.18,0.63
50,PTX-PLGA,1.0,57500.0,0.0,216.5,10.36,0.01,0.0,9428.03,0.0,853.92,221.29,15.0,3.74,0.29,0.09,0.12,0.18,0.14
163,PTX-PLGA-co-PAVL,3.0,10200.0,0.04,216.5,10.36,0.83,0.32,2.89,0.5,853.92,221.29,15.0,3.74,0.17,0.01,0.01,0.02,0.01
113,DEX-PLGA,1.0,46000.0,0.0,262.0,12.42,0.51,0.29,115.38,0.0,392.47,94.83,6.0,1.9,11.67,0.03,0.06,0.11,0.48
44,DPP-PLGA,1.0,46000.0,0.0,156.0,13.91,0.11,0.07,20.27,0.0,254.25,102.28,8.0,-2.21,28.11,0.01,0.03,0.06,0.99
4,GEF-PLGA,1.0,44000.0,0.0,213.0,16.11,0.1,0.06,187.5,1.0,446.91,68.74,9.0,4.28,55.35,0.11,0.22,0.39,1.06
109,DEX-PLGA,1.0,46000.0,0.0,262.0,12.42,0.04,0.02,98.36,0.0,392.47,94.83,6.0,1.9,10.37,0.0,0.01,0.01,0.24
132,LDC-PLGA,1.0,46000.0,0.0,68.5,13.78,0.05,0.04,125.0,0.0,234.34,32.34,3.0,2.58,14.18,0.04,0.07,0.13,0.77
125,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.05,179.1,0.0,331.35,99.6,8.0,1.58,15.82,0.03,0.07,0.14,0.52
161,PTX-PLGA-co-PALA,3.0,11000.0,0.06,216.5,10.36,0.83,0.32,2.89,0.5,853.92,221.29,15.0,3.74,13.0,0.0,0.0,0.01,0.01
38,LTZ-PLGA,1.86,57700.0,0.0,184.5,4.4,0.33,0.2,10238.91,0.0,285.31,78.29,5.0,2.66,3.67,0.06,0.13,0.24,0.5
87,TTD-PLGA,1.0,28000.0,0.0,206.0,10.28,0.1,0.06,94.34,0.01,325.5,23.47,2.0,5.34,0.0,0.01,0.02,0.03,0.0
84,5-FU-PLGA,1.0,104000.0,0.0,282.5,8.02,0.8,0.18,210.53,0.0,130.08,65.72,5.0,-0.8,13.02,0.07,0.13,0.22,0.75
38,LTZ-PLGA,1.86,57700.0,0.0,184.5,4.4,0.33,0.2,10238.91,0.0,285.31,78.29,5.0,2.66,2.06,0.06,0.13,0.24,0.44
41,LTZ-PLGA,1.86,57700.0,0.0,184.5,4.4,0.17,0.12,4278.99,0.0,285.31,78.29,5.0,2.66,7.9,0.01,0.02,0.05,0.28
120,PRC-PLGA,1.0,40000.0,0.0,199.0,4.76,0.2,0.05,73.89,0.0,331.35,99.6,8.0,1.58,21.24,0.04,0.06,0.09,0.37
161,PTX-PLGA-co-PALA,3.0,11000.0,0.06,216.5,10.36,0.83,0.32,2.89,0.5,853.92,221.29,15.0,3.74,4.0,0.0,0.0,0.01,0.01
49,PTX-PLGA,3.0,105000.0,0.0,216.5,10.36,0.01,0.0,9165.9,0.0,853.92,221.29,15.0,3.74,15.85,0.03,0.06,0.12,0.43
54,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.05,0.01,1578.95,0.0,234.34,32.34,3.0,2.58,49.8,0.11,0.15,0.22,0.95
166,TAA-PLGA-co-PALA,3.0,11000.0,0.06,293.0,11.75,0.83,0.33,2.89,0.5,434.5,93.06,7.0,2.42,45.0,0.0,0.01,0.01,0.81
119,LPA-PLGA,1.0,25000.0,0.0,152.5,9.49,0.25,0.15,217.39,0.01,1269.47,466.34,30.0,-1.14,7.0,0.02,0.03,0.04,0.12
10,CAF-PLGA,1.0,46000.0,0.0,236.0,14.0,0.12,0.06,63.76,0.0,194.19,61.82,6.0,-1.03,15.03,0.03,0.06,0.11,1.0
120,PRC-PLGA,1.0,40000.0,0.0,199.0,4.76,0.2,0.05,73.89,0.0,331.35,99.6,8.0,1.58,32.61,0.04,0.06,0.09,0.96
163,PTX-PLGA-co-PAVL,3.0,10200.0,0.04,216.5,10.36,0.83,0.32,2.89,0.5,853.92,221.29,15.0,3.74,50.0,0.01,0.01,0.02,0.86
89,TTD-PLGA,1.0,8300.0,0.0,206.0,10.28,0.1,0.06,112.25,0.01,325.5,23.47,2.0,5.34,24.16,0.06,0.09,0.15,1.0
62,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.05,0.04,705.88,0.0,234.34,32.34,3.0,2.58,27.4,0.01,0.02,0.02,0.79
76,IBP-PLGA,1.0,46000.0,0.0,76.25,4.85,0.21,0.14,21.1,0.0,206.29,37.3,2.0,3.07,1.0,0.16,0.21,0.28,0.25
55,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.03,0.01,1538.46,0.0,234.34,32.34,3.0,2.58,7.74,0.05,0.11,0.2,0.64
124,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.06,78.95,0.0,331.35,99.6,8.0,1.58,38.23,0.01,0.03,0.07,0.99
48,PTX-PLGA,3.0,105000.0,0.0,216.5,10.36,0.01,0.0,13498.31,0.0,853.92,221.29,15.0,3.74,5.11,0.06,0.13,0.24,0.37
167,TAA-PLGA-co-PALA,3.0,11000.0,0.06,293.0,11.75,0.83,0.33,2.89,0.5,434.5,93.06,7.0,2.42,15.0,0.0,0.01,0.01,0.03
126,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.06,444.44,0.0,331.35,99.6,8.0,1.58,28.44,0.03,0.09,0.24,0.96
5,GEF-PLGA,1.0,44000.0,0.0,213.0,16.11,0.1,0.08,85.71,1.0,446.91,68.74,9.0,4.28,25.21,0.02,0.02,0.03,0.33
74,IBP-PLGA,1.0,46000.0,0.0,76.25,4.85,0.21,0.18,34.36,0.0,206.29,37.3,2.0,3.07,0.0,0.11,0.17,0.27,0.0
122,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.05,202.7,0.0,331.35,99.6,8.0,1.58,6.62,0.02,0.05,0.09,0.31
121,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.05,117.65,0.0,331.35,99.6,8.0,1.58,19.2,0.02,0.03,0.07,0.4
63,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.03,0.03,789.47,0.0,234.34,32.34,3.0,2.58,50.17,0.01,0.01,0.02,0.81
102,HPA-PLGA,1.0,12000.0,0.0,218.0,11.11,0.03,0.02,1090.91,0.01,242.32,58.88,3.0,2.0,0.98,0.11,0.2,0.36,0.41
130,IBP-PLGA,1.0,46000.0,0.0,76.25,4.85,0.05,0.04,57.69,0.0,206.29,37.3,2.0,3.07,7.0,0.08,0.14,0.26,0.97
160,PTX-PLGA-co-PALA,3.0,11000.0,0.06,216.5,10.36,0.83,0.32,2.89,0.5,853.92,221.29,15.0,3.74,17.0,0.01,0.01,0.02,0.03
166,TAA-PLGA-co-PALA,3.0,11000.0,0.06,293.0,11.75,0.83,0.33,2.89,0.5,434.5,93.06,7.0,2.42,33.0,0.0,0.01,0.01,0.68
122,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.05,202.7,0.0,331.35,99.6,8.0,1.58,26.69,0.02,0.05,0.09,0.76
62,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.05,0.04,705.88,0.0,234.34,32.34,3.0,2.58,43.4,0.01,0.02,0.02,0.82
85,5-FU-PLGA,1.0,104000.0,0.0,282.5,8.02,0.8,0.26,127.39,0.0,130.08,65.72,5.0,-0.8,12.15,0.11,0.19,0.33,0.83
58,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.05,0.02,1250.0,0.0,234.34,32.34,3.0,2.58,1.2,0.21,0.35,0.47,0.45
163,PTX-PLGA-co-PAVL,3.0,10200.0,0.04,216.5,10.36,0.83,0.32,2.89,0.5,853.92,221.29,15.0,3.74,7.0,0.01,0.01,0.02,0.03
120,PRC-PLGA,1.0,40000.0,0.0,199.0,4.76,0.2,0.05,73.89,0.0,331.35,99.6,8.0,1.58,0.94,0.04,0.06,0.09,0.09
66,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.05,0.06,750.0,0.0,234.34,32.34,3.0,2.58,36.2,0.02,0.02,0.03,0.84
85,5-FU-PLGA,1.0,104000.0,0.0,282.5,8.02,0.8,0.26,127.39,0.0,130.08,65.72,5.0,-0.8,15.18,0.11,0.19,0.33,0.89
14,LDC-PLGA,2.33,10000.0,0.0,68.5,13.78,1.0,0.05,1200.0,0.2,234.34,32.34,3.0,2.58,56.17,0.08,0.19,0.41,0.99
106,TMZ-PLGA,3.0,20000.0,0.0,212.0,10.46,0.05,0.04,97.56,0.0,194.15,108.17,8.0,-2.08,0.1,0.04,0.05,0.06,0.01
130,IBP-PLGA,1.0,46000.0,0.0,76.25,4.85,0.05,0.04,57.69,0.0,206.29,37.3,2.0,3.07,14.07,0.08,0.14,0.26,1.0
114,DEX-PLGA,1.0,46000.0,0.0,262.0,12.42,1.72,0.62,98.36,0.0,392.47,94.83,6.0,1.9,8.34,0.25,0.31,0.5,0.55
111,DEX-PLGA,1.0,46000.0,0.0,262.0,12.42,0.18,0.12,113.21,0.0,392.47,94.83,6.0,1.9,4.35,0.0,0.01,0.01,0.04
14,LDC-PLGA,2.33,10000.0,0.0,68.5,13.78,1.0,0.05,1200.0,0.2,234.34,32.34,3.0,2.58,28.38,0.08,0.19,0.41,0.96
134,LDC-PLGA,1.0,46000.0,0.0,68.5,13.78,0.05,0.04,56.6,0.0,234.34,32.34,3.0,2.58,11.77,0.04,0.06,0.11,0.71
66,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.05,0.06,750.0,0.0,234.34,32.34,3.0,2.58,0.0,0.02,0.02,0.03,0.0
69,LDC-PLGA,1.0,48000.0,0.0,68.5,13.78,0.1,0.01,1538.46,0.0,234.34,32.34,3.0,2.58,49.64,0.07,0.09,0.12,0.71
82,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.27,117.88,0.0,130.08,65.72,5.0,-0.8,12.08,0.07,0.12,0.22,0.74
97,PTX-PLGA,3.0,108000.0,0.0,216.5,10.36,0.02,0.01,3529.41,0.1,853.92,221.29,15.0,3.74,38.8,0.01,0.02,0.04,0.31
163,PTX-PLGA-co-PAVL,3.0,10200.0,0.04,216.5,10.36,0.83,0.32,2.89,0.5,853.92,221.29,15.0,3.74,26.0,0.01,0.01,0.02,0.13
118,LPA-PLGA,1.0,25000.0,0.0,152.5,9.49,0.25,0.18,217.39,0.01,1269.47,466.34,30.0,-1.14,54.35,0.04,0.05,0.06,0.92
70,LDC-PLGA,1.0,48000.0,0.0,68.5,13.78,0.05,0.02,1363.64,0.0,234.34,32.34,3.0,2.58,28.1,0.05,0.08,0.15,0.64
61,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.1,0.09,759.49,0.0,234.34,32.34,3.0,2.58,0.0,0.0,0.01,0.01,0.0
125,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.05,179.1,0.0,331.35,99.6,8.0,1.58,2.3,0.03,0.07,0.14,0.21
89,TTD-PLGA,1.0,8300.0,0.0,206.0,10.28,0.1,0.06,112.25,0.01,325.5,23.47,2.0,5.34,28.22,0.06,0.09,0.15,1.0
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,3.11,0.09,0.19,0.35,0.69
119,LPA-PLGA,1.0,25000.0,0.0,152.5,9.49,0.25,0.15,217.39,0.01,1269.47,466.34,30.0,-1.14,53.81,0.02,0.03,0.04,0.97
163,PTX-PLGA-co-PAVL,3.0,10200.0,0.04,216.5,10.36,0.83,0.32,2.89,0.5,853.92,221.29,15.0,3.74,58.0,0.01,0.01,0.02,0.95
111,DEX-PLGA,1.0,46000.0,0.0,262.0,12.42,0.18,0.12,113.21,0.0,392.47,94.83,6.0,1.9,0.0,0.0,0.01,0.01,0.0
160,PTX-PLGA-co-PALA,3.0,11000.0,0.06,216.5,10.36,0.83,0.32,2.89,0.5,853.92,221.29,15.0,3.74,65.0,0.01,0.01,0.02,0.7
167,TAA-PLGA-co-PALA,3.0,11000.0,0.06,293.0,11.75,0.83,0.33,2.89,0.5,434.5,93.06,7.0,2.42,42.0,0.0,0.01,0.01,0.66
2,GEF-PLGA,1.0,44000.0,0.0,213.0,16.11,0.1,0.07,101.69,1.0,446.91,68.74,9.0,4.28,25.02,0.05,0.1,0.19,0.58
119,LPA-PLGA,1.0,25000.0,0.0,152.5,9.49,0.25,0.15,217.39,0.01,1269.47,466.34,30.0,-1.14,50.31,0.02,0.03,0.04,0.93
41,LTZ-PLGA,1.86,57700.0,0.0,184.5,4.4,0.17,0.12,4278.99,0.0,285.31,78.29,5.0,2.66,23.82,0.01,0.02,0.05,0.36
67,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.03,0.03,740.74,0.0,234.34,32.34,3.0,2.58,7.94,0.01,0.01,0.03,0.19
166,TAA-PLGA-co-PALA,3.0,11000.0,0.06,293.0,11.75,0.83,0.33,2.89,0.5,434.5,93.06,7.0,2.42,40.0,0.0,0.01,0.01,0.77
112,DEX-PLGA,1.0,46000.0,0.0,262.0,12.42,0.29,0.19,100.0,0.0,392.47,94.83,6.0,1.9,15.15,0.0,0.0,0.01,0.24
97,PTX-PLGA,3.0,108000.0,0.0,216.5,10.36,0.02,0.01,3529.41,0.1,853.92,221.29,15.0,3.74,14.87,0.01,0.02,0.04,0.2
160,PTX-PLGA-co-PALA,3.0,11000.0,0.06,216.5,10.36,0.83,0.32,2.89,0.5,853.92,221.29,15.0,3.74,35.0,0.01,0.01,0.02,0.15
112,DEX-PLGA,1.0,46000.0,0.0,262.0,12.42,0.29,0.19,100.0,0.0,392.47,94.83,6.0,1.9,21.47,0.0,0.0,0.01,0.65
10,CAF-PLGA,1.0,46000.0,0.0,236.0,14.0,0.12,0.06,63.76,0.0,194.19,61.82,6.0,-1.03,8.04,0.03,0.06,0.11,0.44
122,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.05,202.7,0.0,331.35,99.6,8.0,1.58,21.84,0.02,0.05,0.09,0.63
124,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.06,78.95,0.0,331.35,99.6,8.0,1.58,40.32,0.01,0.03,0.07,0.99
75,IBP-PLGA,1.0,46000.0,0.0,76.25,4.85,0.21,0.16,35.36,0.0,206.29,37.3,2.0,3.07,2.02,0.09,0.29,0.4,0.61
82,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.27,117.88,0.0,130.08,65.72,5.0,-0.8,19.23,0.07,0.12,0.22,0.93
160,PTX-PLGA-co-PALA,3.0,11000.0,0.06,216.5,10.36,0.83,0.32,2.89,0.5,853.92,221.29,15.0,3.74,24.0,0.01,0.01,0.02,0.04
57,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.1,0.03,1818.18,0.0,234.34,32.34,3.0,2.58,1.56,0.01,0.05,0.14,0.28
67,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.03,0.03,740.74,0.0,234.34,32.34,3.0,2.58,0.63,0.01,0.01,0.03,0.02
98,PTX-PLGA,3.0,108000.0,0.0,216.5,10.36,0.02,0.02,3488.37,0.1,853.92,221.29,15.0,3.74,0.0,0.01,0.01,0.02,0.0
121,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.05,117.65,0.0,331.35,99.6,8.0,1.58,10.14,0.02,0.03,0.07,0.27
123,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.05,431.65,0.0,331.35,99.6,8.0,1.58,2.78,0.09,0.17,0.3,0.5
4,GEF-PLGA,1.0,44000.0,0.0,213.0,16.11,0.1,0.06,187.5,1.0,446.91,68.74,9.0,4.28,17.23,0.11,0.22,0.39,1.06
117,LPA-PLGA,1.0,25000.0,0.0,152.5,9.49,0.25,0.23,217.39,0.01,1269.47,466.34,30.0,-1.14,4.04,0.09,0.11,0.15,0.25
14,LDC-PLGA,2.33,10000.0,0.0,68.5,13.78,1.0,0.05,1200.0,0.2,234.34,32.34,3.0,2.58,14.48,0.08,0.19,0.41,0.88
42,DPP-PLGA,1.0,46000.0,0.0,156.0,13.91,0.23,0.05,95.24,0.0,254.25,102.28,8.0,-2.21,4.43,0.05,0.13,0.28,0.73
102,HPA-PLGA,1.0,12000.0,0.0,218.0,11.11,0.03,0.02,1090.91,0.01,242.32,58.88,3.0,2.0,0.05,0.11,0.2,0.36,0.02
112,DEX-PLGA,1.0,46000.0,0.0,262.0,12.42,0.29,0.19,100.0,0.0,392.47,94.83,6.0,1.9,25.16,0.0,0.0,0.01,0.91
81,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.32,92.17,0.0,130.08,65.72,5.0,-0.8,0.0,0.27,0.34,0.45,0.0
53,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.1,0.01,1276.6,0.0,234.34,32.34,3.0,2.58,49.91,0.02,0.05,0.11,0.92
81,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.32,92.17,0.0,130.08,65.72,5.0,-0.8,16.19,0.27,0.34,0.45,0.93
131,LDC-PLGA,1.0,46000.0,0.0,68.5,13.78,0.05,0.04,428.57,0.0,234.34,32.34,3.0,2.58,34.77,0.1,0.13,0.19,1.0
66,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.05,0.06,750.0,0.0,234.34,32.34,3.0,2.58,13.8,0.02,0.02,0.03,0.53
167,TAA-PLGA-co-PALA,3.0,11000.0,0.06,293.0,11.75,0.83,0.33,2.89,0.5,434.5,93.06,7.0,2.42,0.17,0.0,0.01,0.01,0.01
43,DPP-PLGA,1.0,46000.0,0.0,156.0,13.91,0.15,0.06,53.1,0.0,254.25,102.28,8.0,-2.21,1.22,0.0,0.02,0.05,0.06
133,LDC-PLGA,1.0,46000.0,0.0,68.5,13.78,0.05,0.04,81.08,0.0,234.34,32.34,3.0,2.58,6.97,0.05,0.07,0.11,0.5
105,HPA-PLGA,1.0,40000.0,0.0,218.0,11.11,0.03,0.02,1052.63,0.01,242.32,58.88,3.0,2.0,2.02,0.14,0.26,0.47,0.73
59,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.03,0.01,1333.33,0.0,234.34,32.34,3.0,2.58,27.8,0.24,0.33,0.49,0.89
41,LTZ-PLGA,1.86,57700.0,0.0,184.5,4.4,0.17,0.12,4278.99,0.0,285.31,78.29,5.0,2.66,0.56,0.01,0.02,0.05,0.02
124,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.06,78.95,0.0,331.35,99.6,8.0,1.58,13.85,0.01,0.03,0.07,0.28
110,DEX-PLGA,1.0,46000.0,0.0,262.0,12.42,0.11,0.09,103.45,0.0,392.47,94.83,6.0,1.9,10.27,0.0,0.01,0.02,0.17
99,PTX-PLGA,3.0,108000.0,0.0,216.5,10.36,0.02,0.01,2061.86,0.1,853.92,221.29,15.0,3.74,43.23,0.01,0.01,0.03,0.28
121,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.05,117.65,0.0,331.35,99.6,8.0,1.58,32.48,0.02,0.03,0.07,0.97
62,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.05,0.04,705.88,0.0,234.34,32.34,3.0,2.58,1.6,0.01,0.02,0.02,0.04
35,TAA-PLGA,1.0,54000.0,0.0,293.0,11.75,0.05,0.05,84.51,0.02,434.5,93.06,7.0,2.42,3.46,0.0,0.01,0.01,0.03
5,GEF-PLGA,1.0,44000.0,0.0,213.0,16.11,0.1,0.08,85.71,1.0,446.91,68.74,9.0,4.28,42.12,0.02,0.02,0.03,0.57
10,CAF-PLGA,1.0,46000.0,0.0,236.0,14.0,0.12,0.06,63.76,0.0,194.19,61.82,6.0,-1.03,16.04,0.03,0.06,0.11,1.0
116,LPA-PLGA,1.0,25000.0,0.0,152.5,9.49,0.25,0.2,217.39,0.01,1269.47,466.34,30.0,-1.14,28.25,0.09,0.1,0.11,0.39
68,LDC-PLGA,1.0,48000.0,0.0,68.5,13.78,0.2,0.01,1621.62,0.0,234.34,32.34,3.0,2.58,36.38,0.02,0.03,0.05,0.4
50,PTX-PLGA,1.0,57500.0,0.0,216.5,10.36,0.01,0.0,9428.03,0.0,853.92,221.29,15.0,3.74,0.0,0.09,0.12,0.18,0.0
129,IBP-PLGA,1.0,46000.0,0.0,76.25,4.85,0.05,0.04,78.95,0.0,206.29,37.3,2.0,3.07,3.04,0.08,0.13,0.23,0.63
54,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.05,0.01,1578.95,0.0,234.34,32.34,3.0,2.58,0.0,0.11,0.15,0.22,0.0
160,PTX-PLGA-co-PALA,3.0,11000.0,0.06,216.5,10.36,0.83,0.32,2.89,0.5,853.92,221.29,15.0,3.74,45.0,0.01,0.01,0.02,0.3
75,IBP-PLGA,1.0,46000.0,0.0,76.25,4.85,0.21,0.16,35.36,0.0,206.29,37.3,2.0,3.07,0.03,0.09,0.29,0.4,0.15
106,TMZ-PLGA,3.0,20000.0,0.0,212.0,10.46,0.05,0.04,97.56,0.0,194.15,108.17,8.0,-2.08,0.98,0.04,0.05,0.06,0.14
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,16.14,0.09,0.19,0.35,0.95
9,CAF-PLGA,1.0,46000.0,0.0,236.0,14.0,0.11,0.06,97.09,0.0,194.19,61.82,6.0,-1.03,0.31,0.04,0.08,0.12,0.05
96,PTX-PLGA,3.0,108000.0,0.0,216.5,10.36,0.02,0.01,3076.92,0.1,853.92,221.29,15.0,3.74,18.28,0.01,0.02,0.04,0.29
47,PTX-PLGA,1.0,57500.0,0.0,216.5,10.36,0.02,0.01,11639.19,0.0,853.92,221.29,15.0,3.74,0.0,0.05,0.11,0.2,0.0
88,TTD-PLGA,1.0,28000.0,0.0,206.0,10.28,0.1,0.04,74.04,0.01,325.5,23.47,2.0,5.34,0.8,0.01,0.02,0.03,0.04
133,LDC-PLGA,1.0,46000.0,0.0,68.5,13.78,0.05,0.04,81.08,0.0,234.34,32.34,3.0,2.58,34.96,0.05,0.07,0.11,0.99
117,LPA-PLGA,1.0,25000.0,0.0,152.5,9.49,0.25,0.23,217.39,0.01,1269.47,466.34,30.0,-1.14,58.39,0.09,0.11,0.15,1.01
